pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_5L/桶,prodPcat_食用油
2022-07-20,90.0,201,2,7,-0.3131070409358267,-0.9497178427914317,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-21,90.0,202,3,7,-0.3294084822245302,-0.9441875088341994,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-22,90.0,203,4,7,-0.3456123126707333,-0.9383773917408642,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-23,90.0,204,5,7,-0.3617137307297674,-0.9322892131745134,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-24,90.0,205,6,7,-0.37770796520396466,-0.9259247771938499,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-25,90.0,206,0,7,-0.39359027665646645,-0.9192859697186105,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-26,90.0,207,1,7,-0.4093559588156211,-0.9123747579707274,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-27,90.0,208,2,7,-0.42500033996955394,-0.9051931898913975,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-28,90.0,209,3,7,-0.4405187843504952,-0.8977433935342336,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-29,90.0,210,4,7,-0.455906693508459,-0.8900275764346766,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-30,90.0,211,5,7,-0.47115950767386394,-0.8820480249558535,90.0,90.0,90.0,71.5,90.0,True,True
2022-07-31,90.0,212,6,7,-0.4862727071086902,-0.8738071036110807,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-01,90.0,213,0,8,-0.5012418134457756,-0.8653072543632061,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-02,90.0,214,1,8,-0.5160623910158526,-0.8565509959010037,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-03,90.0,215,2,8,-0.5307300481619331,-0.8475409228928312,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-04,90.0,216,3,8,-0.5452404385406507,-0.8382797052177745,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-05,90.0,217,4,8,-0.5595892624101763,-0.828770087174504,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-06,90.0,218,5,8,-0.5737722679043243,-0.8190148866680802,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-07,90.0,219,6,8,-0.5877852522924734,-0.8090169943749472,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-08,90.0,220,0,8,-0.6016240632249227,-0.7987793728863648,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-09,90.0,221,1,8,-0.6152845999633277,-0.7883050558305253,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-10,90.0,222,2,8,-0.6287628145958345,-0.7775971469736268,90.0,90.0,90.0,71.5,90.0,True,True
2022-08-11,90.0,223,3,8,-0.6420547132365636,-0.7666588193001592,90.0,90.0,90.0,71.45,90.0,True,True
2022-08-12,90.0,224,4,8,-0.655156357209085,-0.7554933140726804,90.0,90.0,90.0,71.4,90.0,True,True
