pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2022-08-24,44.0,236,2,8,-0.7961828637826154,-0.6050560696488494,44.0,44.0,44.5,45.0,44.35,True,True
2022-08-25,44.0,237,3,8,-0.8064799463209447,-0.5912614448635782,44.0,44.0,44.5,45.0,44.333333333333336,True,True
2022-08-26,44.0,238,4,8,-0.8165380514459157,-0.5772916165517278,44.0,44.0,44.5,45.0,44.31666666666667,True,True
2022-08-27,44.0,239,5,8,-0.8263541987239094,-0.5631507242749187,44.0,44.0,44.5,45.0,44.3,True,True
2022-08-28,44.0,240,6,8,-0.8359254794186365,-0.5488429582847199,44.0,44.0,44.5,45.0,44.28333333333333,True,True
2022-08-29,44.0,241,0,8,-0.8452490573530634,-0.5343725582809785,44.0,44.0,44.5,45.0,44.266666666666666,True,True
2022-08-30,44.0,242,1,8,-0.8543221697498269,-0.5197438121555157,44.0,44.0,44.5,45.0,44.25,True,True
2022-08-31,44.0,243,2,8,-0.8631421280499115,-0.5049610547215202,44.0,44.0,44.5,45.0,44.233333333333334,True,True
2022-09-01,44.0,244,3,9,-0.8717063187093217,-0.4900286664290594,44.0,44.0,44.5,45.0,44.21666666666667,True,True
2022-09-02,44.0,245,4,9,-0.8800122039735356,-0.4749510720670502,44.0,44.0,44.5,45.0,44.2,True,True
2022-09-03,44.0,246,5,9,-0.888057322629493,-0.4597327394521046,44.0,44.0,44.5,43.0,44.18333333333333,True,True
2022-09-04,44.0,247,6,9,-0.8958392907349089,-0.4443781781046134,44.0,44.0,44.5,43.0,44.166666666666664,True,True
2022-09-05,44.0,248,0,9,-0.9033558023246842,-0.4288919379124841,44.0,44.0,44.5,43.0,44.15,True,True
2022-09-06,44.0,249,1,9,-0.9106046300942162,-0.41327860778290443,44.0,44.0,44.5,43.0,44.13333333333333,True,True
2022-09-07,44.0,250,2,9,-0.9175836260593934,-0.3975428142825566,44.0,44.0,44.5,43.0,44.11666666666667,True,True
2022-09-08,44.0,251,3,9,-0.9242907221930934,-0.3816892202666586,44.0,44.0,44.5,43.0,44.1,True,True
2022-09-09,44.0,252,4,9,-0.9307239310379793,-0.3657225234972692,44.0,44.0,44.5,43.0,44.083333333333336,True,True
2022-09-10,44.0,253,5,9,-0.9368813462954315,-0.34964745525122826,44.0,44.0,44.5,43.0,44.06666666666667,True,True
2022-09-11,44.0,254,6,9,-0.9427611433904206,-0.33346877891818705,44.0,44.0,44.5,43.0,44.05,True,True
2022-09-12,44.0,255,0,9,-0.9483615800121716,-0.31719128858910595,44.0,44.0,44.5,43.0,44.03333333333333,True,True
2022-09-13,44.0,256,1,9,-0.9536809966304455,-0.300819807635668,44.0,44.0,44.5,43.0,44.016666666666666,True,True
2022-09-14,44.0,257,2,9,-0.9587178169872964,-0.2843591872810036,44.0,44.0,44.5,43.0,44.0,True,True
2022-09-15,44.0,258,3,9,-0.9634705485641486,-0.26781430516217486,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-16,44.0,259,4,9,-0.9679377830240642,-0.25119006388481957,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-17,44.0,260,5,9,-0.9721181966290612,-0.23449138957041052,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-18,44.0,261,6,9,-0.9760105506323682,-0.21772323039653224,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-19,44.0,262,0,9,-0.9796136916454901,-0.20089055513063528,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-20,44.0,263,1,9,-0.9829265519799822,-0.18399835165767986,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-21,44.0,264,2,9,-0.9859481499638303,-0.1670516255021195,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-22,44.0,265,3,9,-0.9886775902323404,-0.15005539834465262,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-23,44.0,266,4,9,-0.9911140639934546,-0.13301470653419636,44.0,44.0,44.0,43.0,44.0,True,True
